instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,daily_rentals,year,month,hr,hourly_rentals
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,0,16.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,1,40.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,2,32.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,3,13.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,4,1.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,5,1.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,6,2.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,7,3.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,8,8.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,9,14.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,10,36.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,11,56.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,12,84.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,13,94.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,14,106.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,15,110.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,16,93.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,17,67.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,18,35.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,19,37.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,20,36.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,21,34.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,22,28.0
1,2011-01-01,Spring,0,1,0,6,Weekend,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,23,39.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,0,17.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,1,17.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,2,9.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,3,6.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,4,3.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,6,2.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,7,1.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,8,8.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,9,20.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,10,53.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,11,70.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,12,93.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,13,75.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,14,59.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,15,74.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,16,76.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,17,65.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,18,53.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,19,30.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,20,22.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,21,31.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,22,9.0
2,2011-01-02,Spring,0,1,0,0,Weekend,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,23,8.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,0,5.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,1,2.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,4,1.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,5,3.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,6,30.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,7,64.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,8,154.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,9,88.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,10,44.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,11,51.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,12,61.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,13,61.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,14,77.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,15,72.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,16,76.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,17,157.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,18,157.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,19,110.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,20,52.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,21,52.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,22,20.0
3,2011-01-03,Spring,0,1,0,1,Working Day,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,23,12.0
4,2011-01-04,Spring,0,1,0,2,Working Day,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,2011,1,0,5.0
